level,question_id,question_text,question_code,question_type,difficulty,correct_answer,explanation,all_options,all_options_text,option_a_label,option_a_text,option_a_wrong_count,option_b_label,option_b_text,option_b_wrong_count,option_c_label,option_c_text,option_c_wrong_count,option_d_label,option_d_text,option_d_wrong_count,wrong_count,total_attempts,correct_count,wrong_rate,correct_rate,rank_in_level,most_wrong_option_value,most_wrong_option_label,most_wrong_option_text,most_wrong_option_count
3,1507,执行下面C++代码后输出的第一个数是（    ）。,"int main()
{
    int a[20],i;
    for(i = 0; i < 20; i++)
        a[i] = i+1;

    for( ; i > 0; i--)
        cout << a[i-1] << "" "";

    cout << endl;
    return 0;
}",code,medium,A,循环变量i在第一个for结束后为20，第二个for从i=20开始递减，输出a[19]=20作为第一个数。,A: 20 (错误0次); B: 19 (错误235次); C: 1 (错误35次); D: 不确定 (错误12次),A: 20; B: 19; C: 1; D: 不确定,A,20,0,B,19,235,C,1,35,D,不确定,12,282,326,44,86.50,13.50,1,B,B,19,235
3,1251,以下关于C++数组的说法，错误的是（ ）。,,text,easy,D,int arr[5]; 声明了一个包含5个元素的数组，下标从0到4。arr[5]访问的是第6个元素，超出了数组边界，是非法的。,A: 数组的下标通常从 0 开始。 (错误210次); B: int arr[5]; 声明了一个包含5个整数的数组。 (错误26次); C: 数组的大小必须在编译时确定，不能使用变量定义大小。 (错误34次); D: 可以通过 arr[5] 来访问 int arr[5]; 数组的最后一个元素。 (错误0次),A: 数组的下标通常从 0 开始。; B: int arr[5]; 声明了一个包含5个整数的数组。; C: 数组的大小必须在编译时确定，不能使用变量定义大小。; D: 可以通过 arr[5] 来访问 int arr[5]; 数组的最后一个元素。,A,数组的下标通常从 0 开始。,210,B,int arr[5]; 声明了一个包含5个整数的数组。,26,C,数组的大小必须在编译时确定，不能使用变量定义大小。,34,D,可以通过 arr[5] 来访问 int arr[5]; 数组的最后一个元素。,0,270,389,119,69.41,30.59,2,A,A,数组的下标通常从 0 开始。,210
3,1511,下面C++程序执行的结果是（    ）。,"int main()
{
    int a[20],i;
    int cnt=0;
    for(i = 0; i < 20; i++)
        a[i] = i+1;


    for( ; i > 1; i--)
        if((a[i-1]+a[i-2])%3)
            cnt++;
    cout << cnt << endl;

    cout << endl;
    return 0;
}",code,hard,D,i初始为20，循环从i=20到i=2，共19次迭代。每次判断a[i-1]+a[i-2]是否模3非零。例如i=20时判断a[19]+a[18]=20+19=39%3==0，不满足；依次类推，统计满足条件的次数，经计算共有12次满足。,A: 5 (错误213次); B: 6 (错误26次); C: 10 (错误19次); D: 12 (错误0次),A: 5; B: 6; C: 10; D: 12,A,5,213,B,6,26,C,10,19,D,12,0,258,326,68,79.14,20.86,3,A,A,5,213
3,1262,以下C++代码中存在几处错误（ ）。,"#include <iostream>
using namespace std;

int main() {
    const int SIZE = 5;
    int arr[SIZE];
    for (int i = 0; i <= SIZE; i++) { 
        arr[i] = i * 2;
    }
    cout << arr[SIZE] << endl;
    return 0;
}",code,medium,C,两处错误：1. for循环条件i <= SIZE导致i从0到5，当i=5时arr[5]越界（数组大小为5，下标0-4）；2. 最后输出arr[SIZE]即arr[5]也越界。共2处错误。,A: 0处 (错误219次); B: 1处 (错误18次); C: 2处 (错误0次); D: 3处 (错误10次),A: 0处; B: 1处; C: 2处; D: 3处,A,0处,219,B,1处,18,C,2处,0,D,3处,10,247,389,142,63.50,36.50,4,A,A,0处,219
3,1522,在C++语言中，字符数组被定义时，它的大小可以调整。,,text,easy,B,普通字符数组一旦定义，其大小固定不可变。,A: 正确 (错误245次); B: 错误 (错误0次),A: 正确; B: 错误,A,正确,245,B,错误,0,,,0,,,0,245,326,81,75.15,24.85,5,A,A,正确,245
3,1141,下面的程序中，会输出（ ）。,"int a[10]={1,2,3,4,5,6,7,8,9,10};
cout<<a[10]<<endl;",code,medium,D,数组a的大小为10，合法下标为0到9。a[10]是越界访问，读取的是数组之后的内存位置，其值不确定，可能是任意垃圾值。,A: 1 (错误210次); B: 0 (错误22次); C: 10 (错误6次); D: 不确定的值 (错误0次),A: 1; B: 0; C: 10; D: 不确定的值,A,1,210,B,0,22,C,10,6,D,不确定的值,0,238,317,79,75.08,24.92,6,A,A,1,210
3,1150,下列程序将输出1。（ ）,"int a[10]={1};
cout<<a[1]<<endl;",code,easy,B,数组初始化int a[10]={1}表示第一个元素为1，其余元素自动初始化为0。因此a[1]为0，输出0，不是1。,A: 正确 (错误238次); B: 错误 (错误0次),A: 正确; B: 错误,A,正确,238,B,错误,0,,,0,,,0,238,317,79,75.08,24.92,7,A,A,正确,238
3,1040,"以下代码的功能是将数组中的奇数和偶数分别放在数组的前半部分和后半部分,横线处应该填入的是（）","#include <iostream>
using namespace std;

int main() {
    int arr[] = {1, 2, 3, 4, 5};
    int left = 0, right = 4;
    while (left < right) {
        while (arr[left] % 2 == 1 && left < right) left++;
        // ————————————————————————————————————————————————————
        if (left < right) {
            swap(arr[left], arr[right]);
        }
    }
    for (int i = 0; i < 5; i++) {
        cout << arr[i] << "" "";
    }
    return 0;
}",code,hard,D,左指针left指向奇数，跳过所有奇数；右指针right应从右边开始跳过所有偶数，直到遇到奇数为止，所以条件是while (arr[right] % 2 == 0 && left < right) right--;,A: while (arr[left] % 2 == 0 && left < right) right--; (错误215次); B: while (arr[right] % 2 == 0 && left < right) left--; (错误10次); C: while (arr[right] % 2 != 0 && left < right) right--; (错误12次); D: while (arr[right] % 2 == 0 && left < right) right--; (错误0次),A: while (arr[left] % 2 == 0 && left < right) right--;; B: while (arr[right] % 2 == 0 && left < right) left--;; C: while (arr[right] % 2 != 0 && left < right) right--;; D: while (arr[right] % 2 == 0 && left < right) right--;,A,while (arr[left] % 2 == 0 && left < right) right--;,215,B,while (arr[right] % 2 == 0 && left < right) left--;,10,C,while (arr[right] % 2 != 0 && left < right) right--;,12,D,while (arr[right] % 2 == 0 && left < right) right--;,0,237,318,81,74.53,25.47,8,A,A,while (arr[left] % 2 == 0 && left < right) right--;,215
3,1140,关于一维数组，下列程序能够正确执行的是（ ）。,"int a[10]={1,2,3,4,5,6,7,8,9,10};
int sum=0;
for(int i=0;i<10;i++) {
    um=sum+a[i];
}",text,hard,C,选项C正确是因为数组下标从0开始，到9结束，循环条件为i<10，确保访问的每个元素都在数组范围内。其他选项均存在越界访问的问题，可能导致程序崩溃或未定义行为。,"A: int a[10];
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
} (错误214次); B: int a[10]={1,2,3,4,5,6,7,8,9,10};
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
} (错误19次); C: int a[10]={1,2,3,4,5,6,7,8,9,10};
int sum=0;
for(int i=0;i<10;i++) {
    sum=sum+a[i];
} (错误0次); D: int a[10]={0};
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
} (错误2次)","A: int a[10];
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
}; B: int a[10]={1,2,3,4,5,6,7,8,9,10};
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
}; C: int a[10]={1,2,3,4,5,6,7,8,9,10};
int sum=0;
for(int i=0;i<10;i++) {
    sum=sum+a[i];
}; D: int a[10]={0};
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
}",A,"int a[10];
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
}",214,B,"int a[10]={1,2,3,4,5,6,7,8,9,10};
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
}",19,C,"int a[10]={1,2,3,4,5,6,7,8,9,10};
int sum=0;
for(int i=0;i<10;i++) {
    sum=sum+a[i];
}",0,D,"int a[10]={0};
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
}",2,235,317,82,74.13,25.87,9,A,A,"int a[10];
int sum=0;
for(int i=0;i<=10;i++) {
    sum=sum+a[i];
}",214
3,1254,执行以下C++代码后，数组 arr 的内容是（ ）。,"int arr[4] = {1, 2, 3};
arr[3] = arr[0] + arr[2];",code,easy,B,"arr[4] 初始化为 {1,2,3}，则 arr[0]=1, arr[1]=2, arr[2]=3, arr[3]=0（自动补0）。然后 arr[3] = arr[0] + arr[2] = 1 + 3 = 4。所以最终数组为 {1,2,3,4}。","A: {1, 2, 3, 3} (错误212次); B: {1, 2, 3, 4} (错误0次); C: {1, 2, 3, 5} (错误4次); D: {1, 2, 3, 6} (错误1次)","A: {1, 2, 3, 3}; B: {1, 2, 3, 4}; C: {1, 2, 3, 5}; D: {1, 2, 3, 6}",A,"{1, 2, 3, 3}",212,B,"{1, 2, 3, 4}",0,C,"{1, 2, 3, 5}",4,D,"{1, 2, 3, 6}",1,217,389,172,55.78,44.22,10,A,A,"{1, 2, 3, 3}",212
