level,question_id,question_text,question_code,question_type,difficulty,correct_answer,explanation,all_options,all_options_text,option_a_label,option_a_text,option_a_wrong_count,option_b_label,option_b_text,option_b_wrong_count,option_c_label,option_c_text,option_c_wrong_count,option_d_label,option_d_text,option_d_wrong_count,wrong_count,total_attempts,correct_count,wrong_rate,correct_rate,rank_in_level,most_wrong_option_value,most_wrong_option_label,most_wrong_option_text,most_wrong_option_count
4,1348,以下代码将 Hello 写入文件 data.txt。,"#include <fstream>
using namespace std;

ofstream file(""data.txt"");
cout << ""Hello"" << endl;
file.close();",code,medium,错误,"该代码错误在于：虽然声明了 `ofstream file(""data.txt"")`，但并未实际向文件写入任何内容；`cout << ""Hello"" << endl;` 是将字符串输出到**控制台（标准输出）**，而非文件。文件流对象 `file` 自始至终未被使用（如未调用 `file << ""Hello"";`），因此 `data.txt` 文件要么为空，要么甚至可能因构造失败而未被创建。`file.close()` 无法弥补写入操作的缺失。故代码无法实现“将 Hello 写入文件”的功能，选项 B（错误）是正确答案。",A: 正确 (错误9次); B: 错误 (错误1次),A: 正确; B: 错误,A,正确,0,B,错误,0,,,0,,,0,55,59,4,93.22,6.78,1,true,true,,26
4,939,下面代码实现了冒泡排序函数，则横线上应填写（ ）。,"//交换数组arr的第i个元素和第j个元素
void swap(vector<int> &arr, int i, int j) {
    int tmp = arr[i];
    arr[i] = arr[j];
    arr[j] = tmp;
}

int bubble_sort(vector<int> &arr) {
    for (int i = arr.size() - 1; i > 0; i--) {
        bool flag = false; // 标志位
        ________________________________ { // 在此处填入代码

            if (arr[j] > arr[j + 1]) {
                swap(arr, i, j);
                flag = true;
            }
        }
        if (!flag)
            break; // 此轮“冒泡”未交换任何元素
    }
}",code,hard,C,冒泡排序的内层循环应该从 0 开始，到 i 为止，这样可以将最大的元素“冒泡”到数组的末尾。选项 C 正确实现了冒泡排序的内层循环。,A: for (int j = 0; j < arr.size() - 1; j++) (错误25次); B: for (int j = arr.size() - 1; j > 0; j--) (错误14次); C: for (int j = 0; j < i; j++) (错误0次); D: for (int j = i-1; j <=0; j--) (错误3次),A: for (int j = 0; j < arr.size() - 1; j++); B: for (int j = arr.size() - 1; j > 0; j--); C: for (int j = 0; j < i; j++); D: for (int j = i-1; j <=0; j--),A,for (int j = 0; j < arr.size() - 1; j++),25,B,for (int j = arr.size() - 1; j > 0; j--),14,C,for (int j = 0; j < i; j++),0,D,for (int j = i-1; j <=0; j--),3,42,62,20,67.74,32.26,2,A,A,for (int j = 0; j < arr.size() - 1; j++),25
4,1335,关于插入排序的时间复杂度，下列说法正确的是（   ）。,,text,hard,B,"最好情况：数组已按目标顺序排列，内层循环无需移动元素，仅外层循环遍历 n 个元素，时间复杂度 O (n)。
最坏情况：数组逆序排列，每个元素i需向前比较i次并移动i个元素，总操作次数为 1+2+...+(n-1) = n (n-1)/2，时间复杂度 O (n²)。",A: 最好情况和最坏情况的时间复杂度都是 O(n²) (错误15次); B: 最好情况是 O(n)，最坏情况是 O(n²) (错误0次); C: 最好情况是 O(n)，最坏情况是O(2ⁿ) (错误15次); D: 最好情况是 O(n²)，最坏情况是O(2ⁿ) (错误2次),A: 最好情况和最坏情况的时间复杂度都是 O(n²); B: 最好情况是 O(n)，最坏情况是 O(n²); C: 最好情况是 O(n)，最坏情况是O(2ⁿ); D: 最好情况是 O(n²)，最坏情况是O(2ⁿ),A,最好情况和最坏情况的时间复杂度都是 O(n²),15,B,最好情况是 O(n)，最坏情况是 O(n²),0,C,最好情况是 O(n)，最坏情况是O(2ⁿ),15,D,最好情况是 O(n²)，最坏情况是O(2ⁿ),2,32,59,27,54.24,45.76,3,C,C,最好情况是 O(n)，最坏情况是O(2ⁿ),15
4,1336,小杨正在爬楼梯，需要 n 阶才能到达楼顶，每次可以爬 1 阶或 2 阶，求小杨有多少种不同的方法可以爬到楼顶，横线上应填写（  ）。,"int climbStairs(int n) {
    if (n <= 2) return n;
    int prev2 = 1;
    int prev1 = 2;
    int current = 0;
    for (int i = 3; i <= n; ++i) {
        ________________    // 在此处填入代码
    }
    return current;
}",code,hard,B,"爬楼梯问题本质：第n阶的方法数 = 第n-1阶方法数（最后一步爬 1 阶） + 第n-2阶方法数（最后一步爬 2 阶）
递推公式为dp[n] = dp[n-1] + dp[n-2]，初始条件dp[1] = 1，dp[2] = 2。
代码优化：用变量prev2（对应dp[i-2]）、prev1（对应dp[i-1]）、current（对应dp[i]）代替数组，降低空间复杂度（从 O (n) 到 O (1)）。
循环中逻辑：
计算当前current = prev1 + prev2（dp[i] = dp[i-1] + dp[i-2]）。
更新下一轮的prev2和prev1：prev2 = prev1（dp[i-2]变为dp[i-1]），prev1 = current（dp[i-1]变为dp[i]）。
正确顺序为 “current = prev1 + prev2; prev2 = prev1; prev1 = current;”，对应选项 C。","A: prev2 = prev1;
prev1 = current;
current = prev1 + prev2; (错误14次); B: current = prev1 + prev2;
prev2 = prev1;
prev1 = current; (错误0次); C: current = prev1 + prev2;
prev1 = current;
prev2 = prev1; (错误11次); D: prev1 = current;
prev2 = prev1;
current = prev1 + prev2; (错误5次)","A: prev2 = prev1;
prev1 = current;
current = prev1 + prev2;; B: current = prev1 + prev2;
prev2 = prev1;
prev1 = current;; C: current = prev1 + prev2;
prev1 = current;
prev2 = prev1;; D: prev1 = current;
prev2 = prev1;
current = prev1 + prev2;",A,"prev2 = prev1;
prev1 = current;
current = prev1 + prev2;",14,B,"current = prev1 + prev2;
prev2 = prev1;
prev1 = current;",0,C,"current = prev1 + prev2;
prev1 = current;
prev2 = prev1;",11,D,"prev1 = current;
prev2 = prev1;
current = prev1 + prev2;",5,30,59,29,50.85,49.15,4,A,A,"prev2 = prev1;
prev1 = current;
current = prev1 + prev2;",14
4,941,下面代码实现了插入排序函数（升序），则横线上应填写（ ）。,"void insertion_sort(vector<int> &nums) {
    for (int i = 1; i < nums.size(); i++) {
        int base = nums[i], j = i - 1;

        ________________________________ { // 在此处填入代码
            nums[j + 1] = nums[j];
            j--;
        }
        nums[j + 1] = base;
    }
}",code,hard,A,正确答案是A，因为插入排序需要将当前元素与前面已排序部分的元素比较，当遇到比它大的元素时，需将其后移。条件`j >= 0 && nums[j] > base`确保在有效范围内且当前元素大于基准值时继续循环，从而正确完成插入操作。其他选项无法满足排序逻辑。,A: while (j >= 0 && nums[j] > base) (错误0次); B: while (j > 0 && nums[j] > base) (错误16次); C: while (j >= 0 && nums[j] < base) (错误6次); D: while (j > 0 && nums[j] < base) (错误7次),A: while (j >= 0 && nums[j] > base); B: while (j > 0 && nums[j] > base); C: while (j >= 0 && nums[j] < base); D: while (j > 0 && nums[j] < base),A,while (j >= 0 && nums[j] > base),0,B,while (j > 0 && nums[j] > base),16,C,while (j >= 0 && nums[j] < base),6,D,while (j > 0 && nums[j] < base),7,29,62,33,46.77,53.23,5,B,B,while (j > 0 && nums[j] > base),16
4,1340,执行下面C++代码将输出 11。,"int x = 10;
void f() {
    int x = x + 1;
    cout << x << endl;
}

int main() {
    f();
}",code,hard,错误,f()函数中int x = x + 1;存在问题：局部变量x在定义时，右侧的x仍未初始化（此时x是局部变量，而非全局变量x=10），使用未初始化的变量会导致未定义行为（输出随机值，而非 11）。,A: 正确 (错误29次); B: 错误 (错误0次),A: 正确; B: 错误,A,正确,0,B,错误,0,,,0,,,0,29,59,30,49.15,50.85,6,正确,A,正确,29
4,1332,关于排序算法的稳定性，以下说法错误的是（   ）。,,text,medium,C,选择排序不是稳定排序，因为在选择最小元素交换时可能改变相等元素的相对位置。冒泡和插入排序是稳定的。,A: 稳定的排序算法不改变相等元素的相对位置 (错误11次); B: 冒泡排序是稳定的排序算法 (错误7次); C: 选择排序是稳定的排序算法 (错误0次); D: 插入排序是稳定的排序算法 (错误10次),A: 稳定的排序算法不改变相等元素的相对位置; B: 冒泡排序是稳定的排序算法; C: 选择排序是稳定的排序算法; D: 插入排序是稳定的排序算法,A,稳定的排序算法不改变相等元素的相对位置,11,B,冒泡排序是稳定的排序算法,7,C,选择排序是稳定的排序算法,0,D,插入排序是稳定的排序算法,10,28,59,31,47.46,52.54,7,A,A,稳定的排序算法不改变相等元素的相对位置,11
4,940,上一题算法的时间复杂度为（ ）。,,text,hard,A,该算法通过双重循环遍历数据，外层循环执行n次，内层循环在最坏情况下也执行n次，因此总操作次数与n²成正比，时间复杂度为O(n²)，故正确答案是A。,A: O(n^2) (错误0次); B: O(2^n) (错误7次); C: O(1) (错误2次); D: O(n) (错误18次),A: O(n^2); B: O(2^n); C: O(1); D: O(n),A,O(n^2),0,B,O(2^n),7,C,O(1),2,D,O(n),18,27,62,35,43.55,56.45,8,D,D,O(n),18
4,1325,以下关于数组的描述中，（   ）是错误的。,,text,easy,C,数组名是一个指针常量，不能进行自增操作。指针可以自增，但数组名不可以。,A: 数组名是一个指针常量 (错误13次); B: 随机访问数组的元素方便快捷 (错误6次); C: 数组可以像指针一样进行自增操作 (错误0次); D: sizeof(arr) 返回的是整个数组arr占用的字节数 (错误8次),A: 数组名是一个指针常量; B: 随机访问数组的元素方便快捷; C: 数组可以像指针一样进行自增操作; D: sizeof(arr) 返回的是整个数组arr占用的字节数,A,数组名是一个指针常量,13,B,随机访问数组的元素方便快捷,6,C,数组可以像指针一样进行自增操作,0,D,sizeof(arr) 返回的是整个数组arr占用的字节数,8,27,59,32,45.76,54.24,10,A,A,数组名是一个指针常量,13
4,1326,给定如下定义的数组arr，则*(*(arr + 1) + 2)的值是（   ）。,"int arr[2][3] = {{1, 2, 3}, {4, 5, 6}};",code,medium,D,"首地址arr指向第一行（arr[0]），arr + 1指向第二行（arr[1]）。
*(arr + 1)等价于arr[1]（第二行的首地址），*(arr + 1) + 2等价于arr[1] + 2（第二行第 3 个元素的地址）。
*(*(arr + 1) + 2)等价于arr[1][2]，值为 6。",A: 2 (错误14次); B: 5 (错误5次); C: 4 (错误8次); D: 6 (错误0次),A: 2; B: 5; C: 4; D: 6,A,2,14,B,5,5,C,4,8,D,6,0,27,59,32,45.76,54.24,11,A,A,2,14
